ACC_1,ACC_2,ACC_3,ACC_4,ACC_5,ACC_6,Answer_1,Answer_2,Answer_3,Answer_4,Answer_5,Answer_6,Block,CorrResp_1,CorrResp_2,CorrResp_3,CorrResp_4,CorrResp_5,CorrResp_6,CorrResp_7,FIX,ISI_1,ISI_2,ISI_3,ISI_4,ISI_5,ISI_6,ISI_7,ITI,MemPos_1,MemPos_2,MemPos_3,MemPos_4,MemPos_5,MemPos_6,MemPos_7,MemSet_1,MemSet_2,MemSet_3,MemSet_4,MemSet_5,MemSet_6,MemSet_7,MemSetSize,Operation,ProbePos_1,ProbePos_2,ProbePos_3,ProbePos_4,ProbePos_5,ProbePos_6,ProbePos_7,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,StimDuration_1,StimDuration_2,StimDuration_3,StimDuration_4,StimDuration_5,StimDuration_6,StimDuration_7,Subject,TaskDescription,TrialNum,UpdatingSteps,UpdatingType,response_1,response_2,response_3,response_4,response_5,response_6,time_ISI,time_ITI,time_call,time_cue,time_memset,time_resp
0,1,,,,,5,5,,,,,1,1,5,,,,,,2,1.5,1.5,,,,,,1,8,9,,,,,,5,1,,,,,,2,-9,9,8,,,,,,2.57661840000037,0.361978900000395,,,,,0.2,0.2,,,,,,1,Promotion_Task_Prac,1,0,0,1,1,,,,,14929.635833,14926.7284856,14931.1380305,14934.5269378,14929.4341343,14934.8941824
0,0,0,1,0,,5,5,5,5,5,,1,6,0,1,5,4,,,2,1.5,1.5,1.5,1.5,1.5,,,1,6,7,4,3,9,,,5,6,0,1,4,,,5,-9,7,4,3,6,9,,,0.375293400000373,0.339546999999584,0.302369299999555,0.392140100000688,0.353952899999058,,0.2,0.2,0.2,0.2,0.2,,,1,Promotion_Task_Prac,2,0,0,1,1,1,1,1,,14943.2529781,14935.2401254,14944.7550656,14947.8967223,14943.0521401,14948.2557531
0,0,0,,,,5,5,5,,,,1,0,9,8,,,,,2,1.5,1.5,1.5,,,,,1,4,9,6,,,,,0,8,9,,,,,3,-9,4,6,9,,,,,0.243246300000465,0.208700399998634,0.100196600000345,,,,0.2,0.2,0.2,,,,,1,Promotion_Task_Prac,3,0,0,1,1,1,,,,14953.2336579,14948.6261932,14954.7355661,14956.3074801,14953.0332635,14956.4127385
0,0,1,0,0,0,4,4,4,4,4,4,1,1,2,4,7,6,5,,2,1.5,1.5,1.5,1.5,1.5,1.5,,1,4,8,7,6,2,1,,7,4,5,2,6,1,,6,-9,1,6,8,4,2,7,,0.723242399999435,0.645947500001057,0.515262100001564,0.667827400000533,0.249095199998919,0.287854700000025,0.2,0.2,0.2,0.2,0.2,0.2,,1,Promotion_Task_Prac,4,0,0,1,1,1,1,1,1,14966.4559614,14956.7373363,14967.9578571,14972.8010462,14966.25465,14973.093804
0,0,1,,,,4,4,4,,,,1,1,5,4,,,,,2,1.5,1.5,1.5,,,,,1,3,7,6,,,,,5,4,1,,,,,3,-9,6,3,7,,,,,0.341926400000375,0.363359099999798,1.15828510000028,,,,0.2,0.2,0.2,,,,,1,Promotion_Task_Prac,5,0,0,1,1,1,,,,14978.0197441,14973.4137533,14979.5219123,14981.3491226,14977.8187719,14982.512829
0,0,1,,,,4,4,4,,,,1,9,5,4,,,,,2,1.5,1.5,1.5,,,,,1,6,2,3,,,,,4,9,5,,,,,3,-9,2,3,6,,,,,0.385615299999699,0.168175700000575,0.100275300001158,,,,0.2,0.2,0.2,,,,,1,Promotion_Task_Prac,6,0,0,1,1,1,,,,14987.4429631,14982.8354705,14988.9452562,14990.618709,14987.242251,14990.7239022
,,,,,,,,,,,,1,9,1,2,8,3,7,,2,1.5,1.5,1.5,1.5,1.5,1.5,,1,7,2,6,9,8,3,,3,9,7,2,1,8,,6,-9,2,8,9,3,7,6,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,,1,Promotion_Task_Prac,7,0,0,,,,,,,,,,,,
,,,,,,,,,,,,1,4,6,7,1,0,,,2,1.5,1.5,1.5,1.5,1.5,,,1,7,3,1,4,6,,,4,0,6,1,7,,,5,-9,7,1,6,4,3,,,,,,,,,0.2,0.2,0.2,0.2,0.2,,,1,Promotion_Task_Prac,8,0,0,,,,,,,,,,,,
,,,,,,,,,,,,1,4,8,,,,,,2,1.5,1.5,,,,,,1,2,7,,,,,,8,4,,,,,,2,-9,7,2,,,,,,,,,,,,0.2,0.2,,,,,,1,Promotion_Task_Prac,9,0,0,,,,,,,,,,,,
,,,,,,,,,,,,1,5,1,7,0,4,8,6,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,2,7,1,3,9,6,8,7,1,8,4,5,0,6,7,-9,9,7,2,6,3,1,8,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,Promotion_Task_Prac,10,0,0,,,,,,,,,,,,
